Batch,FieldID,Distance,PlantID,LocationDensity,RepStage,Date,LeafN
1,D12,Close,D12_B_01,plug,late,1/15/20,23
2,D17,Close,D17_B_38,plug,early,11/4/20,23
2,D18,Close,D18_B_10,plug,late,10/20/20,23
2,D22,Far,D22_T2_07,tray,early,3/15/21,23
2,D22,Far,D22_T1_14,tray,late,6/11/20,23
2,D24,Middle,D24_B_02,plug,early,11/4/20,23
1,D02,Middle,D02_B_11,plug,late,12/17/19,24
1,D06,Close,D06_T2_14,tray,late,1/13/20,24
1,D06,Close,D06_B_01,tray,late,1/3/20,24
1,D07,Far,D07_T2_03,plug,late,1/15/20,24
1,D08,Far,D08_T1_04,plug,late,12/17/19,24
1,D12,Close,D12_B_02,plug,late,1/15/20,24
2,D19,Middle,D19_T2_07,tray,early,2/22/21,24
2,D19,Middle,D19_T2_08,tray,late,2/22/21,24
2,D22,Far,D22_T1_24,tray,late,6/11/20,24
2,D22,Far,D22_T1_27,tray,late,6/11/20,24
2,D27,Middle,D27_B_24,plug,early,9/9/20,24
1,D07,Far,D07_B_10,plug,late,1/15/20,25
2,D18,Close,D18_B_05,plug,early,10/20/20,25
2,D19,Middle,D19_T2_09,tray,late,2/22/21,25
2,D21,Far,D21_T1_07,tray,late,3/1/21,25
2,D25,Close,D25_B_03,plug,early,9/24/20,25
2,D27,Middle,D27_B_04,plug,early,9/9/20,25
1,D01,Close,D01_T1_04,plug,late,1/28/20,26
1,D07,Far,D07_T2_05,plug,late,12/17/19,26
2,D26,Close,D26_B_15,plug,late,9/23/20,26
2,D28,Close,D28_B_02,plug,late,7/1/20,26
1,D02,Middle,D02_T1_01,plug,late,1/3/20,27
1,D07,Far,D07_B_01,plug,late,12/17/19,27
1,D07,Far,D07_T2_04,plug,late,1/15/20,27
1,D07,Far,D07_B_05,plug,late,1/15/20,27
2,D15,Close,D15_B_06,plug,late,6/11/20,27
2,D18,Close,D18_B_07,plug,early,10/20/20,27
1,D01,Close,D01_B_03,plug,late,1/28/20,28
1,D02,Middle,D02_B_01,plug,late,1/3/20,28
1,D08,Far,D08_T1_10,plug,late,1/3/20,28
1,D13,Middle,D13_T2_02,plug,late,12/17/19,28
2,D21,Far,D21_T1_03,tray,late,3/1/21,28
2,D21,Far,D21_T1_05,tray,late,3/1/21,28
1,D02,Middle,D02_B_02,plug,late,12/17/19,29
1,D07,Far,D07_T1_01,plug,late,12/17/19,29
1,D08,Far,D08_T1_09,plug,late,12/17/19,29
2,D21,Far,D21_T1_06,tray,early,3/1/21,29
2,D21,Far,D21_T1_10,tray,early,3/1/21,29
1,D02,Middle,D02_B_09,plug,late,1/3/20,30
1,D02,Middle,D02_B_10,plug,late,1/3/20,30
1,D07,Far,D07_B_06,plug,late,1/15/20,30
1,D08,Far,D08_T2_05,plug,late,12/17/19,30
1,D08,Far,D08_T2_06,plug,late,1/3/20,31
1,D08,Far,D08_T1_06,plug,late,1/3/20,31
1,D08,Far,D08_T1_01,plug,late,1/3/20,31
1,D02,Middle,D02_T1_02,plug,late,1/3/20,32
1,D07,Far,D07_T1_03,plug,late,1/15/20,32
1,D08,Far,D08_T1_08,plug,late,1/15/20,32
1,D08,Far,D08_T1_07,plug,late,1/3/20,32
1,D06,Close,D06_T2_01,tray,late,1/13/20,33
1,D07,Far,D07_B_02,plug,late,1/15/20,33
1,D12,Close,D12_B_04,plug,late,1/15/20,33
1,D02,Middle,D02_T1_04,plug,late,1/3/20,34
1,D07,Far,D07_B_08,plug,late,12/17/19,34
1,D06,Close,D06_T2_09,tray,late,1/13/20,36
1,D12,Close,D12_B_11,plug,late,1/15/20,37
1,D07,Far,D07_B_09,plug,late,1/15/20,38
1,D08,Far,D08_T1_03,plug,late,1/3/20,39
1,D13,Middle,D13_T1_11,plug,late,1/3/20,39
1,D02,Middle,D02_T1_08,plug,late,1/3/20,40
1,D08,Far,D08_T2_03,plug,late,1/3/20,41
1,D07,Far,D07_T1_02,plug,late,12/17/19,42
1,D07,Far,D07_B_11,plug,late,1/15/20,43
1,D08,Far,D08_T2_02,plug,late,1/3/20,43
1,D02,Middle,D02_B_08,plug,late,1/3/20,45
1,D08,Far,D08_B_02,plug,late,1/3/20,48
1,D07,Far,D07_B_03,plug,late,1/15/20,49
1,D08,Far,D08_B_01,plug,late,1/3/20,54
1,D08,Far,D08_T2_04,plug,late,1/15/20,70
2,D15,Close,D15_B_07,plug,late,6/11/20,NA
2,D18,Close,D18_B_06,plug,late,10/20/20,NA
2,D21,Far,D21_T1_09,tray,late,3/1/21,NA
2,D21,Far,D21_T1_11,tray,late,3/1/21,NA
2,D22,Far,D22_B_01,plug,late,9/14/20,NA
2,D22,Far,D22_B_03,plug,late,9/14/20,NA
2,D22,Far,D22_B_15,plug,late,9/14/20,NA
