ID,Geno,SizeRE,Genotype,PotPlug,Density,Chamber,Tray,Season,MatFr,ImmFr,Flowers,BasBr,PrimBr,TotBr,Height,FailedFr,LeafNum,Diam,Leaves dead when measured (Y= yes),SizeOrig
216,K,Big,E16_06,Pot,Low,R25T,1,Early,0,39,NA,1,6,7,345,1,59,87.55,NA,Small
255,L,Big,E16_23,Pot,Low,R21B,2,Early,0,39,NA,1,6,7,348,4,50,66.8,NA,Small
208,K,Big,E16_06,Pot,Low,R24T,2,Early,0,43,NA,1,7,8,337,2,53,90.42,NA,Small
260,L,Big,E16_23,Pot,Low,R20B,2,Early,0,44,NA,1,6,7,281,0,51,76.27,NA,Small
120,H,Big,E16_07,Pot,Low,R25T,1,Early,0,45,NA,2,7,19,519,0,50,95.5,NA,Big
118,H,Big,E16_07,Pot,Low,R25T,1,Early,0,47,NA,1,7,21,491,0,51,90.81,NA,Big
38,E,Small,E16_T1_30,Plug,Low,R21B,1,Early,0,49,NA,1,5,6,316,2,39,89.79,NA,Big
21,I,Big,E16_20,Pot,Low,R20B,1,Early,0,49,NA,1,8,11,388,0,50,85.44,NA,Big
237,G,Big,E16_04,Pot,Low,R20B,2,Early,0,50,NA,1,5,6,378,0,46,83.48,NA,Small
238,G,Big,E16_04,Pot,Low,R25T,1,Early,0,50,NA,1,6,7,334,0,52,91.98,NA,Small
256,L,Big,E16_23,Pot,Low,R24T,1,Early,0,51,NA,1,4,5,34,0,55,76.16,NA,Small
214,K,Big,E16_06,Pot,Low,R25T,2,Early,0,53,NA,1,6,7,242,6,49,81.58,NA,Small
90,J,Big,E16_19,Pot,Low,R24T,2,Early,0,53,NA,1,7,8,364,0,55,74.8,NA,Big
267,F,Small,E03_06,Pot,High,R21T,2,Early,0,55,NA,1,3,4,368,0,44,71.32,NA,Small
122,C,Small,E03_04,Pot,High,R21T,2,Early,0,57,NA,1,6,7,263,0,25,61.9,Y,Big
209,K,Big,E16_06,Pot,Low,R24T,1,Early,0,58,NA,1,7,8,363,2,47,99.2,NA,Small
231,G,Big,E16_04,Pot,Low,R21B,1,Early,0,64,NA,1,5,6,368,0,48,83.35,NA,Small
257,L,Big,E16_23,Pot,Low,R24T,2,Early,0,64,NA,1,7,8,368,1,51,91.18,NA,Small
20,I,Big,E16_20,Pot,Low,R20B,2,Early,0,64,NA,1,8,10,337,1,52,113.15,NA,Big
211,K,Big,E16_06,Pot,Low,R20B,1,Early,0,65,NA,1,7,8,371,4,56,95.09,NA,Small
234,G,Big,E16_04,Pot,Low,R24T,2,Early,0,71,NA,1,7,8,376,0,51,109.34,NA,Small
86,J,Big,E16_19,Pot,Low,R21B,2,Early,0,72,NA,1,7,8,413,0,58,99.73,NA,Big
258,L,Big,E16_23,Pot,Low,R24T,2,Early,0,73,NA,1,7,8,353,0,54,81.66,NA,Small
215,K,Big,E16_06,Pot,Low,R25T,2,Early,0,74,NA,1,5,6,36,2,53,106.3,NA,Small
95,J,Big,E16_19,Pot,Low,R25T,2,Early,0,78,NA,1,11,12,392,1,52,115.92,NA,Big
91,J,Big,E16_19,Pot,Low,R20B,2,Early,0,83,NA,1,9,10,378,1,61,108.4,NA,Big
88,J,Big,E16_19,Pot,Low,R24T,2,Early,0,89,NA,1,9,10,415,2,55,93.28,NA,Big
287,F,Small,E03_06,Pot,Low,R25T,2,Early,0,91,NA,1,6,7,368,2,50,102.49,NA,Small
239,G,Big,E16_04,Pot,Low,R25T,2,Early,0,94,NA,1,8,9,373,1,55,104.52,NA,Small
240,G,Big,E16_04,Pot,Low,R25T,2,Early,0,100,NA,1,7,8,377,1,52,111.76,NA,Small
264,L,Big,E16_23,Pot,Low,R25T,2,Early,0,101,NA,1,7,8,397,0,51,109.53,NA,Small
253,L,Big,E16_23,Pot,Low,R21B,1,Early,0,105,NA,1,8,9,387,4,56,83.56,NA,Small
263,L,Big,E16_23,Pot,Low,R25T,2,Early,0,135,NA,1,7,8,374,0,51,114.76,NA,Small
42,E,Small,E16_T1_30,Plug,Low,R24T,2,Early,0,139,NA,1,5,6,419,0,36,90.46,NA,Big
85,J,Big,E16_19,Pot,Low,R21B,2,Early,0,150,NA,1,8,9,468,1,62,96.18,NA,Big
73,J,Big,E16_19,Pot,High,R21T,NA,Late,0,NA,0,1,0,1,1,0,NA,NA,NA,Big
219,G,Big,E16_04,Pot,High,R21T,NA,Late,0,NA,0,1,0,1,4,0,NA,NA,NA,Small
99,H,Big,E16_07,Pot,High,R21T,NA,Late,0,NA,1,1,0,1,7,0,NA,NA,NA,Big
15,I,Big,E16_20,Pot,Low,R21B,NA,Late,0,NA,2,1,0,1,29,0,NA,NA,NA,Big
104,H,Big,E16_07,Pot,High,R23T,NA,Late,0,NA,0,1,4,5,44,3,NA,NA,NA,Big
79,J,Big,E16_19,Pot,High,R23T,2,Early,1,17,NA,1,0,1,211,0,30,43.86,NA,Big
269,F,Small,E03_06,Pot,High,R24B,2,Early,1,19,NA,1,0,1,207,0,27,46.13,NA,Small
276,F,Small,E03_06,Pot,High,R25B,2,Early,1,31,NA,1,0,1,27,2,30,45.08,NA,Small
123,C,Small,E03_04,Pot,High,R21T,1,Early,1,41,NA,1,4,5,254,0,27,48.55,NA,Big
92,J,Big,E16_19,Pot,Low,R20B,2,Early,1,96,NA,1,5,6,473,0,55,82.93,NA,Big
46,E,Small,E16_T1_30,Plug,Low,R25T,1,Early,1,109,NA,1,6,8,359,0,37,101.63,NA,Big
259,L,Big,E16_23,Pot,Low,R20B,2,Early,1,124,NA,1,8,9,414,0,59,113.59,NA,Small
68,B,Small,E16_T1_26,Plug,Low,R20B,2,Early,1,149,NA,1,7,8,268,0,40,108.97,NA,Big
52,B,Small,E16_T1_26,Plug,High,R24B,NA,Late,1,NA,0,1,0,1,18,0,NA,NA,NA,Big
51,B,Small,E16_T1_26,Plug,High,R21T,NA,Late,1,NA,0,1,0,1,34,0,NA,NA,NA,Big
147,A,Small,E03_T1_29,Plug,High,R21T,NA,Late,1,NA,0,1,0,1,35,0,NA,NA,NA,Small
270,F,Small,E03_06,Pot,High,R24B,2,Early,2,16,NA,1,0,1,177,0,53,44.55,NA,Small
262,L,Big,E16_23,Pot,Low,R25T,1,Early,2,62,NA,1,7,8,397,5,59,103.1,NA,Small
198,K,Big,E16_06,Pot,High,R24B,NA,Late,2,NA,0,1,0,1,46,0,NA,NA,NA,Small
221,G,Big,E16_04,Pot,High,R24B,NA,Late,2,NA,1,1,0,1,51,0,NA,NA,NA,Small
252,L,Big,E16_23,Pot,High,R25B,NA,Late,2,NA,4,1,5,9,19,1,NA,NA,NA,Small
34,E,Small,E16_T1_30,Plug,High,R25B,1,Early,3,12,NA,1,0,1,118,0,18,37.93,NA,Big
81,J,Big,E16_19,Pot,High,R23T,1,Early,3,16,NA,1,0,1,202,0,29,46.04,NA,Big
83,J,Big,E16_19,Pot,High,R25B,1,Early,3,18,NA,1,0,1,194,0,24,33.63,NA,Big
274,F,Small,E03_06,Pot,High,R25B,2,Early,3,23,NA,1,0,1,257,1,26,47.73,NA,Small
146,A,Small,E03_T1_29,Plug,High,R21T,1,Early,3,23,NA,1,2,3,227,0,25,35.2,NA,Small
33,E,Small,E16_T1_30,Plug,High,R23T,2,Early,3,25,NA,1,0,1,243,2,27,51.16,NA,Big
18,I,Big,E16_20,Pot,Low,R24T,1,Early,3,68,NA,1,4,6,386,2,61,85.92,NA,Big
17,I,Big,E16_20,Pot,Low,R24T,1,Early,3,69,NA,1,2,9,461,7,52,80.22,NA,Big
192,D,Small,E03_T1_35,Plug,Low,R25T,2,Early,3,228,NA,3,9,14,374,0,45,105.26,NA,Small
129,C,Small,E03_04,Pot,High,R23T,NA,Late,3,NA,1,1,0,1,49,0,NA,NA,NA,Big
272,F,Small,E03_06,Pot,High,R23T,2,Early,4,10,NA,1,0,1,172,1,19,35.36,NA,Small
183,D,Small,E03_T1_35,Plug,Low,R21B,1,Early,4,86,NA,1,7,8,376,0,33,80.37,NA,Small
69,B,Small,E16_T1_26,Plug,Low,R20B,1,Early,4,114,NA,1,6,7,286,1,37,89.62,NA,Big
161,A,Small,E03_T1_29,Plug,Low,R24T,2,Early,4,137,NA,1,10,11,405,10,35,80.98,NA,Small
222,G,Big,E16_04,Pot,High,R24B,NA,Late,4,NA,0,1,0,1,71,0,NA,NA,NA,Small
31,E,Small,E16_T1_30,Plug,High,R23T,1,Early,5,19,NA,1,0,1,209,0,23,48,NA,Big
80,J,Big,E16_19,Pot,High,R23T,1,Early,5,27,NA,1,0,1,264,0,36,55.68,NA,Big
75,J,Big,E16_19,Pot,High,R21T,2,Early,5,38,NA,1,2,3,316,2,32,49.11,NA,Big
205,K,Big,E16_06,Pot,Low,R21B,1,Early,5,42,NA,1,5,6,429,2,52,71.53,NA,Small
24,I,Big,E16_20,Pot,Low,R25T,1,Early,5,54,NA,1,7,27,335,2,57,85.2,NA,Big
162,A,Small,E03_T1_29,Plug,Low,R24T,2,Early,5,254,NA,1,12,13,464,2,45,122.87,NA,Small
217,G,Big,E16_04,Pot,High,R21T,NA,Late,5,NA,0,1,0,1,83,0,NA,NA,NA,Small
55,B,Small,E16_T1_26,Plug,High,R23T,1,Early,6,1,NA,1,1,2,103,0,16,29.29,NA,Big
60,B,Small,E16_T1_26,Plug,High,R25B,2,Early,6,3,NA,1,0,1,121,0,10,34.15,NA,Big
63,B,Small,E16_T1_26,Plug,Low,R21B,2,Early,6,60,NA,1,2,3,341,0,33,66.28,NA,Big
280,F,Small,E03_06,Pot,Low,R24T,2,Early,6,120,NA,1,3,4,44,2,49,93.12,NA,Small
126,C,Small,E03_04,Pot,High,R24B,1,Early,7,18,NA,1,0,1,234,0,25,46.14,NA,Big
87,J,Big,E16_19,Pot,Low,R21B,2,Early,7,38,NA,1,0,1,355,1,47,56.97,NA,Big
121,C,Small,E03_04,Pot,High,R21T,1,Early,7,54,NA,1,3,4,322,0,27,59.61,NA,Big
277,F,Small,E03_06,Pot,Low,R21B,2,Early,7,59,NA,1,4,5,368,0,50,68.46,NA,Small
170,D,Small,E03_T1_35,Plug,High,R21T,2,Early,7,69,NA,1,9,10,336,1,30,68.39,NA,Small
